ticker,date,title,distributor,gross,percent_yd,percent_lw,theaters,per_theater,total_gross,days_in_release,parent company,release_date,year,title_key,weekday,release_month,release_weekday,is_weekend,average_theaters,average_gross,average_gross_per_theaters,avg_gross_monday,avg_gross_tuesday,avg_gross_wednesday,avg_gross_thursday,avg_gross_friday,avg_gross_saturday,avg_gross_sunday,avg_gross_weekend,avg_gross_weekday,tmdb_id,popularity,imdb_id,original_language,status,budget,revenue,adult,overview,runtime,vote_average,vote_count,origin_country,spoken_languages,genre_ids,genre_names,production_company_ids,production_company_names,belongs_to_collection,gross_per_theater,omdb_title,omdb_year,omdb_rated,omdb_released,omdb_runtime,omdb_genre,omdb_director,omdb_writer,omdb_actors,omdb_plot,omdb_language,omdb_country,omdb_awards,omdb_poster,omdb_metascore,omdb_imdbrating,omdb_imdbvotes,omdb_boxoffice,omdb_production,omdb_rating_internetmoviedatabase,omdb_rating_rottentomatoes,omdb_rating_metacritic
SONY,2002-09-29,Lawrence of Arabia,Sony Pictures,35792,-0.23,0.0,6.0,5965.0,154213,14533,Sony Corporation,1962-12-15,2002,lawrence of arabia,6,12,5,1,6.0,35780.0,25702.166666666668,0.0,0.0,0.0,0.0,24840.0,46708.0,35792.0,35780.0,0.0,947,7.7107,tt0056172,en,Released,15000000.0,70000000.0,False,"During World War I, English officer Thomas Edward 'T.E.' Lawrence sets out to unite and lead the diverse, often warring, Arab tribes to fight the Turks.",228.0,7.995,3246.0,GB,"Arabic, English, Portuguese, Turkish","12, 36, 10752","Adventure, History, War",11356,Horizon Pictures,,25702.166666666668,Lawrence of Arabia,1962.0,PG,02 Apr 2013,227 min,"Adventure, Biography, Drama",David Lean,"Robert Bolt, Michael Wilson","Peter O'Toole, Alec Guinness, Anthony Quinn","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","English, Arabic, Turkish","United Kingdom, United States",Won 7 Oscars. 31 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_SX300.jpg,100.0,8.3,"334,419","$45,306,425",,8.3/10,93%,100/100
Private,2014-10-12,Little Fugitive,APD/Cinema C…,351,0.0,0.0,1.0,351.0,29505,22287,APD/Cinema Communications,1953-10-05,2014,little fugitive,6,10,0,1,1.0,533.0,29505.0,0.0,252.0,0.0,0.0,0.0,1155.0,362.5,626.6666666666666,252.0,52620,1.7791,tt0046004,en,Released,30000.0,0.0,False,"After a prank makes Joey Norton believe he killed his older brother, he runs away from home and spends the day at Coney Island while his brother tries to find him before their mother gets home.",80.0,6.871,66.0,US,English,"18, 10751","Drama, Family",39518,Little Fugitive Production Company,,29505.0,,,,,,,,,,,,,,,,,,,,,,
Private,2004-01-19,Modern Times,Kino Interna…,300,0.0,0.0,3.0,100.0,97412,24821,Kino International,1936-02-04,2004,modern times,0,2,1,0,3.0,300.0,32470.666666666668,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,3082,4.5486,tt0027977,en,Released,1500000.0,1800000.0,False,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",87.0,8.3,3912.0,US,English,"35, 18, 10749","Comedy, Drama, Romance",1315,Charles Chaplin Productions,,32470.666666666668,,,,,,,,,,,,,,,,,,,,,,
Private,2010-07-07,Monsieur Verdoux,The Film Desk,422,0.0,0.0,1.0,422.0,53671,23099,Jacob Perlin,1947-04-10,2010,monsieur verdoux,2,4,3,0,1.0,241.3333333333333,53671.0,0.0,0.0,422.0,0.0,0.0,80.0,222.0,151.0,422.0,30588,3.2616,tt0039631,en,Released,2000000.0,0.0,False,"The film is about an unemployed banker, Henri Verdoux, and his sociopathic methods of attaining income. While being both loyal and competent in his work, Verdoux has been laid-off. To make money for his wife and child, he marries wealthy widows and then murders them. His crime spree eventually works against him when two particular widows break his normal routine.",124.0,7.698,450.0,US,"French, English","35, 80, 18","Comedy, Crime, Drama","1315, 60","Charles Chaplin Productions, United Artists",,53671.0,,,,,,,,,,,,,,,,,,,,,,
Private,2025-10-30,Night of the Juggler,Kino Lorber,714,0.0,0.0,1.0,714.0,50981,16716,"Kino Lorber, Inc",1980-01-24,2025,night of the juggler,3,1,3,0,1.0,714.0,50981.0,0.0,0.0,0.0,714.0,0.0,0.0,0.0,0.0,714.0,44686,2.1057,tt0081230,en,Released,0.0,0.0,False,"A tough, New York City ex-cop relentlessly searches for his kidnapped teenage daughter whom is held by a twisted psycho after mistaking her for the daughter of a wealthy businessman.",101.0,6.5,26.0,US,English,"28, 80, 18","Action, Crime, Drama","15759, 5","GCC Productions, Columbia Pictures",,50981.0,,,,,,,,,,,,,,,,,,,,,,
Private,2010-09-28,On the Bowery,Film Forum,4002,0.48,0.09,1.0,4002.0,41802,19995,Film Forum,1955-12-31,2010,on the bowery,1,12,5,0,1.0,3483.5,41802.0,2481.0,3840.0,4110.0,4296.0,2979.0,4179.0,3219.0,3459.0,3508.0,88051,1.0745,tt0050800,en,Released,0.0,0.0,False,"A mix of documentary and scripted footage on the Bowery, New York City's skid row. Against a backdrop of men (and a few women) drinking in bars, talking and arguing, and sleeping on sidewalks, we have the story of Ray.",65.0,6.574,27.0,US,English,"99, 18","Documentary, Drama",12563,Rogosin Films,,41802.0,,,,,,,,,,,,,,,,,,,,,,
SONY,2024-03-21,Rad,Sony Pictures,508000,0.0,0.0,707.0,719.0,2523882,13881,Sony Corporation,1986-03-20,2024,rad,3,3,3,0,707.0,508000.0,3569.847241867044,0.0,0.0,0.0,508000.0,0.0,0.0,0.0,0.0,508000.0,13841,2.4182,tt0091817,en,Released,3000000.0,2015882.0,False,"A BMX racer, who lives in a small town with his mother and sister, is faced with a tough decision, qualify for Helltrack or take his SATs in order to attend college.",93.0,6.458,106.0,US,English,"18, 10751","Drama, Family",67984,TaliaFilm II Productions,,3569.847241867044,,,,,,,,,,,,,,,,,,,,,,
PARA,2012-10-04,Raiders of the Lost Ark,Paramount Pi…,3782,0.55,-0.66,40.0,95.0,225686079,11438,Paramount Global,1981-06-11,2012,raiders of the lost ark,3,6,3,0,178.5,111629.03571428572,1264347.781512605,49856.75,58793.0,63039.75,68348.75,143236.5,240000.75,158127.75,180455.0,60009.5625,85,12.0737,tt0082971,en,Released,18000000.0,389925971.0,False,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",115.0,7.923,13166.0,US,"English, Spanish, German, Hebrew, Arabic, Nepali","12, 28","Adventure, Action","4, 1","Paramount Pictures, Lucasfilm Ltd.",Indiana Jones Collection,5642151.975,,,,,,,,,,,,,,,,,,,,,,
DIS,2023-12-06,The Abyss,20th Century…,520104,0.0,0.0,570.0,912.0,54763229,12538,The Walt Disney Company,1989-08-08,2023,the abyss,2,8,1,0,570.0,520104.0,96075.8403508772,0.0,0.0,520104.0,0.0,0.0,0.0,0.0,0.0,520104.0,2756,10.4601,tt0096754,en,Released,43000000.0,90000098.0,False,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",140.0,7.348,3244.0,US,English,"12, 53, 878","Adventure, Thriller, Science Fiction","25, 1280","20th Century Fox, Pacific Western",,96075.8403508772,,,,,,,,,,,,,,,,,,,,,,
CMCSA,2025-09-11,The Breakfast Club,Universal,3625,-0.98,0.0,1130.0,3.0,38681035,14819,Comcast Corporation,1985-02-14,2025,the breakfast club,3,2,3,0,1130.0,56328.75,34231.00442477876,37495.0,36060.0,148135.0,3625.0,0.0,0.0,0.0,0.0,56328.75,2108,9.5371,tt0088847,en,Released,1000000.0,51530442.0,False,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.",98.0,7.728,8304.0,US,English,"35, 18","Comedy, Drama","33, 11043, 8812","Universal Pictures, A&M Films, Channel Productions",,34231.00442477876,,,,,,,,,,,,,,,,,,,,,,
WBD,2010-09-30,The Exorcist,Warner Bros.,235134,0.0,0.0,488.0,482.0,230042351,13428,Warner Bros. Entertainment Inc.,1973-12-25,2010,the exorcist,3,12,1,0,1148.12,740847.02,200364.3791589729,289270.75,293459.0,228641.875,235042.0,1888400.0,2314400.0,1060285.7142857143,1672705.8823529412,260798.5151515152,9552,16.154,tt0070047,en,Released,12000000.0,441306145.0,False,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",122.0,7.739,8347.0,US,"German, French, Latin, Arabic, Greek, English",27,Horror,"48184, 174","Hoya Productions, Warner Bros. Pictures",The Exorcist Collection,471398.2602459017,,,,,,,,,,,,,,,,,,,,,,
DIS,2025-09-14,The Sound of Music,20th Century…,559928,-0.25,0.0,1178.0,475.0,164700517,22112,The Walt Disney Company,1965-03-01,2025,the sound of music,6,3,0,1,1178.0,653249.0,139813.68166383702,0.0,0.0,0.0,0.0,0.0,746570.0,559928.0,653249.0,0.0,15121,11.9498,tt0059742,en,Released,8200000.0,286214286.0,False,"In the years before World War II, a tomboyish postulant at an Austrian abbey is hired as a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.",174.0,7.7,3473.0,US,"English, German","18, 10751, 10402, 10749","Drama, Family, Music, Romance","6304, 6305, 25","Robert Wise Productions, Argyle Enterprises, 20th Century Fox",,139813.68166383702,,,,,,,,,,,,,,,,,,,,,,
WBD,2013-10-17,The Wizard of Oz,Warner Bros.,4333,0.28,-0.71,50.0,87.0,33711566,27083,Warner Bros. Entertainment Inc.,1939-08-24,2013,the wizard of oz,3,8,3,0,772.3488372093024,410792.1627906977,43648.108698925054,140809.16666666666,162604.66666666666,353732.0,157292.33333333334,490811.8333333333,905273.3333333334,674531.8333333334,690205.6666666666,209614.44,630,14.6688,tt0032138,en,Released,2777000.0,33754967.0,False,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",102.0,7.592,5886.0,US,English,"12, 14, 10751","Adventure, Fantasy, Family",21,Metro-Goldwyn-Mayer,,674231.32,,,,,,,,,,,,,,,,,,,,,,
AMZN,2025-07-06,This is Spinal Tap,MGM,138000,-0.72,0.0,1015.0,136.0,5750133,15102,"Amazon.com, Inc.",1984-03-01,2025,this is spinal tap,6,3,3,1,1015.0,319188.5,5665.15566502463,0.0,0.0,0.0,0.0,0.0,500377.0,138000.0,319188.5,0.0,11031,4.6027,tt0088258,en,Released,2500000.0,5831458.0,False,"""This Is Spinal Tap"" shines a light on the self-contained universe of a metal band struggling to get back on the charts, including everything from its complicated history of ups and downs, gold albums, name changes and undersold concert dates, along with the full host of requisite groupies, promoters, hangers-on and historians, sessions, release events and those special behind-the-scenes moments that keep it all real.",82.0,7.4,1525.0,US,"Japanese, English","35, 10402","Comedy, Music","3566, 757, 112748","Spinal Tap Prod., Embassy Films Associates, Embassy Pictures",This Is Spinal Tap Collection,5665.15566502463,,,,,,,,,,,,,,,,,,,,,,
PARA,2013-02-21,Top Gun,Paramount Pi…,12280,0.22,-0.58,40.0,307.0,179800601,9779,Paramount Global,1986-05-15,2013,top gun,3,5,3,0,150.92857142857142,215633.7857142857,1191295.983909134,141398.5,149327.0,144508.0,20644.0,282294.5,423064.0,348200.5,351186.3333333333,113969.375,744,13.8451,tt0092099,en,Released,15000000.0,356830601.0,False,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",110.0,7.061,9177.0,US,English,"28, 18","Action, Drama","4, 10288","Paramount Pictures, Don Simpson/Jerry Bruckheimer Films",Top Gun Collection,4495015.025,,,,,,,,,,,,,,,,,,,,,,
