Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,totalSeasons
False,Incorrect IMDb ID.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Error getting data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,The Dinner,1997,N/A,12 Oct 1997,85 min,Drama,Bernie Casey,Bernie Casey,"Bernie Casey, Wren T. Brown, Doug Johnson",N/A,English,United States,1 nomination,N/A,N/A,8.0,19,tt0126869,movie,N/A,N/A,N/A,N/A,8.0/10,,,,,,
True,,The Lovers,2015,R,13 Feb 2015,109 min,"Action, Adventure, Romance",Roland Joffé,"Ajey Jhankar, Roland Joffé","Josh Hartnett, Bipasha Basu, Tamsin Egerton","An epic, sweeping and riveting tale of an impossible love set across two time periods and continents.","Hindi, English","Belgium, India, Australia, China, United States",N/A,https://m.media-amazon.com/images/M/MV5BODA3NTU5NDM5OV5BMl5BanBnXkFtZTgwMzkzMTU1NDE@._V1_SX300.jpg,19,4.6,"3,486",tt1321869,movie,N/A,N/A,N/A,N/A,4.6/10,8%,19/100,,,,
False,Incorrect IMDb ID.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,The Lovers,2017,R,26 May 2017,97 min,"Comedy, Drama, Romance",Azazel Jacobs,Azazel Jacobs,"Debra Winger, Tracy Letts, Aidan Gillen","Debra Winger and Tracy Letts play a long-married, dispassionate couple who are both in the midst of serious affairs. But on the brink of calling it quits, a spark between them suddenly reignites, leading them into an impulsive rom...",English,United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTcxNTE5OTc0N15BMl5BanBnXkFtZTgwMjMzMTIwMTI@._V1_SX300.jpg,76,6.1,"4,427",tt5770620,movie,N/A,"$2,194,521",N/A,N/A,6.1/10,81%,76/100,,,,
True,,The Lovers,2021,N/A,04 Jun 2021,8 min,"Short, Horror",Avra Fox-Lerner,Avra Fox-Lerner,"Meryl Jones Williams, Annapurna Sriram, Patrick Vaill",A roommate stuck in a codependent cycle finds her burgeoning romance might lead to something unexpected.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmE1N2JhMTItNTY1MC00YTcwLWJmZWYtM2UzYjQwOTM2YzUwXkEyXkFqcGdeQXVyMzQwNTY1Mjc@._V1_SX300.jpg,N/A,N/A,6,tt14616766,movie,N/A,N/A,N/A,N/A,,,,,,,
True,,The Dinner,2017,R,18 May 2017,120 min,"Crime, Drama, Thriller",Oren Moverman,"Herman Koch, Oren Moverman","Michael Chernus, Taylor Rae Almonte-Roman, Steve Coogan",Two sets of wealthy parents meet for dinner to decide what to do about a crime their sons have committed.,English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMjM0ODg1NTMzMV5BMl5BanBnXkFtZTgwMjczMzA2MTI@._V1_SX300.jpg,57,4.5,"10,028",tt3203620,movie,N/A,"$1,323,312",N/A,N/A,4.5/10,46%,57/100,,,,
True,,Take Me,2017,TV-MA,05 May 2017,83 min,"Comedy, Crime, Mystery",Pat Healy,Mike Makowsky,"Pat Healy, Jim O'Heir, Brooke Dillman","Serial kidnapper accepts a job, unaware victims are real. He finds himself trapped in a dangerous, life-threatening situation he can't escape.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQ5Mjc1NzIzMF5BMl5BanBnXkFtZTgwOTg3NDEwMjI@._V1_SX300.jpg,56,6.1,"6,761",tt6598626,movie,N/A,"$2,583",N/A,N/A,6.1/10,68%,56/100,,,,
False,Incorrect IMDb ID.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
