Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID,totalSeasons
The Imposter,2012,R,24 Aug 2012,99 min,"Documentary, Biography, Crime",Bart Layton,N/A,"Adam O'Brian, Nicholas Barclay, Carey Gibson",A documentary centered on a young man in Spain who claims to a grieving Texas family that he is their 16-year-old son who has been missing for 3 years.,"English, Spanish","United Kingdom, United States",Won 1 BAFTA Award13 wins & 34 nominations total,https://m.media-amazon.com/images/M/MV5BMmJjNTI4N2YtNTM0Yi00MGIwLTliYWYtYmEzZTAwYjllNDZmXkEyXkFqcGc@._V1_SX300.jpg,77,7.5,"52,085",tt1966604,movie,N/A,"$898,317",N/A,N/A,True,7.5/10,95%,77/100,,,,,
Savages,2012,R,06 Jul 2012,131 min,"Crime, Drama, Thriller",Oliver Stone,"Shane Salerno, Don Winslow, Oliver Stone","Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively",Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,"English, Spanish",United States,7 nominations total,https://m.media-amazon.com/images/M/MV5BMTk0ODIyNDAyMF5BMl5BanBnXkFtZTcwMTQ5Nzg3Nw@@._V1_SX300.jpg,59,6.4,"136,031",tt1615065,movie,N/A,"$47,382,068",N/A,N/A,True,6.4/10,50%,59/100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,,
Savages,1972,R,18 Jan 1973,106 min,"Fantasy, Comedy",James Ivory,"George W.S. Trow, Michael O'Donoghue, James Ivory","Susan Blakely, Margaret Brewster, Thayer David","An allegory about humankind progresses from a savage state to a civilized form, that is only a cover for its innate barbarism.","English, German",United States,Nominated for 1 BAFTA Award1 nomination total,https://m.media-amazon.com/images/M/MV5BMTYyNzgyOTU2Nl5BMl5BanBnXkFtZTcwNDMwOTUyMQ@@._V1_SX300.jpg,N/A,5.5,405,tt0069226,movie,N/A,N/A,N/A,N/A,True,5.5/10,33%,,,,,,
Savages,1974,Not Rated,11 Sep 1974,74 min,Thriller,Lee H. Katzin,"William Wood, Robb White","Andy Griffith, Sam Bottoms, Noah Beery Jr.","Ben Campbell, a twenty-two-year-old gas station attendant in a small desert town, is looking to make some extra money. He is surprised when Madec, a wealthy lawyer, asks him to be his guide in a hunting trip in the desert. When Ma...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODYxZDc5NWQtOTkxNS00NDllLWIzYjctZDg2MDc5MzYyZmQ5XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,N/A,6.7,311,tt0072116,movie,N/A,N/A,N/A,N/A,True,6.7/10,,,,,,,
Katy Perry: Part of Me,2012,PG,05 Jul 2012,93 min,"Documentary, Biography, Music","Dan Cutforth, Jane Lipsitz",N/A,"Katy Perry, Adam Marcello, Casey Hooper","A look at the life, career and music of singer Katy Perry as we follow her on the California Dreams World Tour.","English, Portuguese","United States, United Kingdom",1 win total,https://m.media-amazon.com/images/M/MV5BMjI3MTMzNTU0OF5BMl5BanBnXkFtZTcwOTU4Njc4Nw@@._V1_SX300.jpg,57,6.0,"13,980",tt2215719,movie,N/A,"$25,326,071",N/A,N/A,True,6.0/10,75%,57/100,,,,,
The Amazing Spider-Man,2012,PG-13,03 Jul 2012,136 min,"Action, Sci-Fi",Marc Webb,"James Vanderbilt, Alvin Sargent, Steve Kloves","Andrew Garfield, Emma Stone, Rhys Ifans","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",English,United States,2 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,66,6.9,"746,458",tt0948470,movie,N/A,"$262,782,352",N/A,N/A,True,6.9/10,71%,66/100,,,,,
Magic Mike,2012,R,29 Jun 2012,110 min,"Comedy, Drama, Music",Steven Soderbergh,Reid Carolin,"Channing Tatum, Alex Pettyfer, Olivia Munn","A male stripper teaches a younger performer how to party, pick up women, and make easy money.",English,United States,10 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMTQzMDMzOTA5M15BMl5BanBnXkFtZTcwMjc4MTg4Nw@@._V1_SX300.jpg,72,6.1,"151,017",tt1915581,movie,N/A,"$113,781,613",N/A,N/A,True,6.1/10,78%,72/100,,,,,
Ted,2012,R,29 Jun 2012,106 min,Comedy,Seth MacFarlane,"Seth MacFarlane, Alec Sulkin, Wellesley Wild","Mark Wahlberg, Mila Kunis, Seth MacFarlane","John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.","English, Japanese, Ukrainian",United States,Nominated for 1 Oscar. 13 wins & 28 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ1OTU0ODcxMV5BMl5BanBnXkFtZTcwOTMxNTUwOA@@._V1_SX300.jpg,62,6.9,"695,086",tt1637725,movie,N/A,"$218,815,487",N/A,N/A,True,6.9/10,69%,62/100,,,,,
To Rome with Love,2012,R,06 Jul 2012,112 min,"Comedy, Music, Romance",Woody Allen,Woody Allen,"Woody Allen, Penélope Cruz, Jesse Eisenberg","The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.","English, Italian","United States, Italy, Spain",2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTcwNTg4MDMxM15BMl5BanBnXkFtZTcwNjAzMzY3Nw@@._V1_SX300.jpg,54,6.3,"92,397",tt1859650,movie,N/A,"$16,685,867",N/A,N/A,True,6.3/10,47%,54/100,,,,,
