Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID,totalSeasons
The Jacket,2005,R,04 Mar 2005,103 min,"Drama, Fantasy, Mystery",John Maybury,"Tom Bleecker, Marc Rocco, Massy Tadjedin","Adrien Brody, Keira Knightley, Daniel Craig","A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a doctor's experiments, and his life is completely affected by them.",English,"Germany, United States",1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNWYzYjg3MDItYzJmZC00MGI4LWFlYzktYzQ0NGMwNjg4ZTBlXkEyXkFqcGc@._V1_SX300.jpg,44,7.1,"122,024",tt0366627,movie,N/A,"$6,303,762",N/A,N/A,True,7.1/10,44%,44/100,,,,,
Be Cool,2005,PG-13,04 Mar 2005,118 min,"Comedy, Crime, Music",F. Gary Gray,"Elmore Leonard, Peter Steinfeld","John Travolta, Uma Thurman, Dwayne Johnson","Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive on the way.","English, Russian",United States,1 win & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxNDc4MzAyNV5BMl5BanBnXkFtZTYwMzQ1NDc2._V1_SX300.jpg,37,5.6,"73,869",tt0377471,movie,N/A,"$56,046,979",N/A,N/A,True,5.6/10,29%,37/100,,,,,
Dear Frankie,2004,PG-13,15 Apr 2005,105 min,"Drama, Romance",Shona Auerbach,Andrea Gibb,"Emily Mortimer, Jack McElhone, Gerard Butler","After having responded to her son's numerous letters in the guise of his father, a woman hires a stranger to pose as his dad when meeting him.","English, British Sign ",United Kingdom,Nominated for 1 BAFTA Award9 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZDQ5MDI1YWMtNmRiMy00ODY1LTllOGMtMjdmOGM0Mjg2YzEwXkEyXkFqcGc@._V1_SX300.jpg,63,7.7,"22,799",tt0377752,movie,N/A,"$18,025",N/A,N/A,True,7.7/10,82%,63/100,,,,,
Cursed,2017,TV-MA,14 Jun 2022,81 min,Comedy,Britt Kynde,Britt Kynde,"Britt Kynde, Elora Wilson, Paul Tucker","Three housemates, two dead brothers and a deliveryman are forced to live together or die trying.",English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BMzgwMzIxYmYtYTYzNy00YzA2LWFhZjItYWVjYjg0ZDQzYzkzXkEyXkFqcGdeQXVyNTUxMjQyOTc@._V1_SX300.jpg,N/A,6.7,13,tt4024312,movie,N/A,N/A,N/A,N/A,True,6.7/10,,,,,,,
Cursed,1990,N/A,05 Apr 1990,85 min,Horror,Mychel Arsenault,"Mychel Arsenault, Richard Millette, Pierre Dalpé","Ron Lea, Catherine Colvey, Tom Rack","When a gargoyle falls off a church during a storm, a scientist and his assistant take it back to their lab, where they are doing genetic experiments. However, the gargoyle is possessed by an evil spirit and starts to interfere in ...",English,Canada,1 nomination,https://m.media-amazon.com/images/M/MV5BMTkxODMyNzgtZWZjZi00ZGE2LTkyYTktMTI0NGE5ZjUxNzM3XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,N/A,4.4,112,tt0099333,movie,N/A,N/A,N/A,N/A,True,4.4/10,,,,,,,
Cursed,2021,Approved,26 Apr 2021,27 min,"Short, Drama, Horror",Ryan Howard,Ryan Howard,"Patrick Peters, Thomas Rex, Kaelyn Wellman","A tragic accident in the 1960's leaves a young man and his family haunted by his mistakes. A haunting that carries throughout generations. From the creators of The Campfire Killer, Out Cold, and Unspoken. And from the producer of ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTczNjA3MjctYmMzNy00ZjgzLWI2YTQtZjQ0NGVjZmM4NjY4XkEyXkFqcGdeQXVyNjE4NjI1ODU@._V1_SX300.jpg,N/A,N/A,N/A,tt14870866,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Cursed,2024,N/A,22 Oct 2024,81 min,Horror,Patrick Corcoran,"Patrick Corcoran, Aidan Karstadt","Leanne Johnson, Sarah Bonrepaux, Pete Berwick",An American drifter is cursed and undergoes a supernatural transformation after arriving in a rural Romanian village and stealing from a produce stand.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGRmMWI3YWItNmY0Ny00Mzc0LTg5ZWEtOTQyYzQ5Y2ZiNDViXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt13764666,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,,
Cursed,2005,PG-13,25 Feb 2005,97 min,"Comedy, Horror, Mystery",Wes Craven,Kevin Williamson,"Christina Ricci, Jesse Eisenberg, Portia de Rossi","A werewolf loose in Los Angeles changes the lives of three young adults who, after being mauled by the beast, learn they must kill it in order to avoid becoming werewolves themselves.",English,"United States, Germany",3 nominations total,https://m.media-amazon.com/images/M/MV5BOGU5Y2NlNzAtMGM1NS00NGQ0LThiOWYtZjBmMDRiZWViZGNhXkEyXkFqcGc@._V1_SX300.jpg,31,5.1,"36,574",tt0257516,movie,28 Nov 2006,"$19,297,522",N/A,N/A,True,5.1/10,,31/100,,,,,
